ano,mes,dia,local,serie,artista,compositor,obra,periodo
2016,novembro,24 e 25,Sala Minas Gerais,Allegro/Vivace,"Marcos Arakaki, regente",WAGNER, Tristão e Isolda: Prelúdio e morte por amor,ROMANTISMO
2016,novembro,24 e 25,Sala Minas Gerais,Allegro/Vivace,"Marcos Arakaki, regente",MENDELSSOHN," Sinfonia nº 4 em Lá maior, op. 90, “Italiana”",ROMANTISMO
2016,novembro,24 e 25,Sala Minas Gerais,Allegro/Vivace,"Marcos Arakaki, regente",MENDELSSOHN," Sinfonia nº 4 em Lá maior, op. 90, “Italiana”",ROMANTISMO
2016,novembro,24 e 25,Sala Minas Gerais,Allegro/Vivace,"Antti Siirala, piano",WEBERN," Passacaglia, op. 1",MODERNO
2016,novembro,24 e 25,Sala Minas Gerais,Allegro/Vivace,"Antti Siirala, piano",WEBERN," Passacaglia, op. 1",MODERNO
2016,novembro,24 e 25,Sala Minas Gerais,Allegro/Vivace,"Antti Siirala, piano",MENDELSSOHN," Concerto para piano nº 2 em ré menor, op. 40",ROMANTISMO
2016,novembro,24 e 25,Sala Minas Gerais,Allegro/Vivace,"Antti Siirala, piano",MENDELSSOHN," Concerto para piano nº 2 em ré menor, op. 40",ROMANTISMO
2016,novembro,24 e 25,Sala Minas Gerais,Allegro/Vivace,"Antti Siirala, piano",WAGNER, Tristão e Isolda: Prelúdio e morte por amor,ROMANTISMO
2016,novembro,24 e 25,Sala Minas Gerais,Allegro/Vivace,"Antti Siirala, piano",WAGNER, Tristão e Isolda: Prelúdio e morte por amor,ROMANTISMO
2016,novembro,24 e 25,Sala Minas Gerais,Allegro/Vivace,"Antti Siirala, piano",MENDELSSOHN," Sinfonia nº 4 em Lá maior, op. 90, “Italiana”",ROMANTISMO
2016,novembro,24 e 25,Sala Minas Gerais,Allegro/Vivace,"Antti Siirala, piano",MENDELSSOHN," Sinfonia nº 4 em Lá maior, op. 90, “Italiana”",ROMANTISMO
2016,novembro,20,Sala Minas Gerais,Concertos para a Juventude,"Marcos Arakaki, regente",HAYDN," Sinfonia nº 103 em Mi bemol maior, Hob. I: 103, “O rufar dos tambores”: Andante",CLASSICISMO
2016,novembro,20,Sala Minas Gerais,Concertos para a Juventude,"Marcos Arakaki, regente",BRAHMS," Sinfonia nº 4 em mi menor, op. 98: Allegro energico e passionato",ROMANTISMO
2016,novembro,20,Sala Minas Gerais,Concertos para a Juventude,"Marcos Arakaki, regente",ELGAR," Variações Enigma, op. 36",ROMANTISMO
2016,novembro,20,Sala Minas Gerais,Concertos para a Juventude,"Marcos Arakaki, regente",Bis: HEIDRICH, Variações sobre Parabéns a Você,CONTEMPORÂNEO
2016,novembro,10 e 11,Sala Minas Gerais,Presto/Veloce,"Cláudio Cruz, regente convidado",VILLA-LOBOS, Bachianas Brasileiras nº 9,MODERNO
2016,novembro,10 e 11,Sala Minas Gerais,Presto/Veloce,"Cláudio Cruz, regente convidado",VILLA-LOBOS, Bachianas Brasileiras nº 9,MODERNO
2016,novembro,10 e 11,Sala Minas Gerais,Presto/Veloce,"Cláudio Cruz, regente convidado",BARTÓK," Concerto para viola, op. posth.",MODERNO
2016,novembro,10 e 11,Sala Minas Gerais,Presto/Veloce,"Cláudio Cruz, regente convidado",BARTÓK," Concerto para viola, op. posth.",MODERNO
2016,novembro,10 e 11,Sala Minas Gerais,Presto/Veloce,"Cláudio Cruz, regente convidado",DVORÁK," Sinfonia nº 6 em Ré maior, op. 60",ROMANTISMO
2016,novembro,10 e 11,Sala Minas Gerais,Presto/Veloce,"Cláudio Cruz, regente convidado",DVORÁK," Sinfonia nº 6 em Ré maior, op. 60",ROMANTISMO
2016,novembro,10 e 11,Sala Minas Gerais,Presto/Veloce,"João Carlos Ferreira, viola",VILLA-LOBOS, Bachianas Brasileiras nº 9,MODERNO
2016,novembro,10 e 11,Sala Minas Gerais,Presto/Veloce,"João Carlos Ferreira, viola",VILLA-LOBOS, Bachianas Brasileiras nº 9,MODERNO
2016,novembro,10 e 11,Sala Minas Gerais,Presto/Veloce,"João Carlos Ferreira, viola",BARTÓK," Concerto para viola, op. posth.",MODERNO
2016,novembro,10 e 11,Sala Minas Gerais,Presto/Veloce,"João Carlos Ferreira, viola",BARTÓK," Concerto para viola, op. posth.",MODERNO
2016,novembro,10 e 11,Sala Minas Gerais,Presto/Veloce,"João Carlos Ferreira, viola",DVORÁK," Sinfonia nº 6 em Ré maior, op. 60",ROMANTISMO
2016,novembro,10 e 11,Sala Minas Gerais,Presto/Veloce,"João Carlos Ferreira, viola",DVORÁK," Sinfonia nº 6 em Ré maior, op. 60",ROMANTISMO
2016,novembro,5,Sala Minas Gerais,Laboratório de Regência,"Fabio Mechetti, regente",BRAHMS," Sinfonia nº 4 em mi menor, op. 98",ROMANTISMO
2016,novembro,5,Sala Minas Gerais,Laboratório de Regência,"Fabio Mechetti, regente",ROSSINI, Guilherme Tell: Abertura,ROMANTISMO
2016,novembro,5,Sala Minas Gerais,Laboratório de Regência,"Cibelle J. Donza, Flávio Lago, Hilo Carriel, Nilton Soares, regentes
",BRAHMS," Sinfonia nº 4 em mi menor, op. 98",ROMANTISMO
2016,novembro,5,Sala Minas Gerais,Laboratório de Regência,"Cibelle J. Donza, Flávio Lago, Hilo Carriel, Nilton Soares, regentes
",ROSSINI, Guilherme Tell: Abertura,ROMANTISMO
2016,outubro,29,Sala Minas Gerais,Fora de Série,"Fabio Mechetti, regente",MOZART," Uma brincadeira musical, K. 522",CLASSICISMO
